ID,商品名称,价格（元）,近30天销量（件）,广告词,促销活动,评论数,日期,品牌
561856729115 ,牛栏山42度2L塑桶二锅头清香型+宁夏红枸杞500g组套装,55,6,,,4,2018/2/27,牛栏山
538227361657 ,贵州飞天不老酒53度 500ml 单瓶酱香型 国产白酒,56,1523,酱香突出，回味悠长,满2件5折,2954,2018/2/27,飞天不老
36493377113 ,五粮液五粮醇3D第三代45度500ml浓香型白酒酒厂直供,57,500,大家风范 系出名门,满99元减20元送任意1件赠品（赠完即止）,422,2018/2/27,五粮液
531371339222 ,五粮液五粮醇3D第三代50度500ml浓香型白酒酒厂直供,58,384,大家风范 系出名门,满99元减20元送任意1件赠品（赠完即止）,588,2018/2/27,五粮液
543636947223 ,五粮液股份 尖庄酒 50度1.35L 浓香型 国产白酒,58,429,酒味醇厚甘美，喷香浓郁,,440,2018/2/27,五粮液
545142164165 ,五粮液五粮醇优醇42度500ml/瓶浓香型白酒酒厂直供,58,180,原厂正品 质量保证,满99元减30元送任意1件赠品（赠完即止）,110,2018/2/27,五粮液
561248463906 ,泸州老窖泸小二Mr Lure酒33度330ml中度白酒新品上市,58,17,新品上市,,8,2018/2/27,泸州老窖
521988942748 ,五粮液股份公司 富贵天下 上品级 52度500mL 白酒,59,2134,需要礼袋 请拍双只装,满2件5折,2432,2018/2/27,五粮液
532132163638 ,【天猫超市】泸州老窖家酒K652度500ml 高度白酒老窖酒厂自营,59,5,限时钜惠，更多优惠点击下方活动,,2405,2018/2/27,泸州老窖
530247365980 ,牛栏山二锅头珍品陈酿52度1000ml 浓香型 单瓶装,59,229,正宗牛栏山 地道北京味,,919,2018/2/27,牛栏山
539746853653 ,衡水老白干香醇52度 500ml老白干香型国产白酒,59,158,香醇美酒，快意人生,满2件5折,836,2018/2/27,衡水老白干
540726420354 ,郎 幸福郎酒 50度 500mL 浓香型 白酒送礼好选,59,70,,,699,2018/2/27,郎酒
525548212636 ,牛栏山 珍品（20）52度 单瓶装 450ml 口感清香型,59,193,单笔订单 送1个礼袋,满2件送任意1件赠品（赠完即止）,473,2018/2/27,牛栏山
541968098063 ,西凤 西凤名酿窖藏级 52度 500mL 浓香型 国产白酒,59,139,,,189,2018/2/27,西凤
560359907371 ,泸州老窖2017版家酒L352度500ml高度白酒酒厂直供,59,626,,,171,2018/2/27,泸州老窖
562923187061 ,红星二锅头56度500ml*2+56度750ml*2大二绿瓶,59,99,,,39,2018/2/27,红星
555282262631 ,牛栏山 百年红（8） 52度 单瓶装 500ml 口感浓香型白酒婚庆用酒,59,57,,满2件送任意1件赠品（赠完即止）,20,2018/2/27,牛栏山
564218437830 ,泸州老窖世家喜庆装52度500ml高度白酒 酒厂直供,59,2,,,0,2018/2/27,泸州老窖
527055831831 ,贵州茅台保健酒公司茅乡封藏酒V10白酒52度浓香型,59.9,779,需礼袋 请拍整箱装,满2件5折,1279,2018/2/27,茅台
540848197655 ,致中和35度小百年白酒125ml*6瓶 建德特产 酒厂直供,60,4,,,149,2018/2/27,致中和
557700935676 ,双沟青优42度200ml*3猫超新品小酒超值优惠酒厂直供,60,11,,,6,2018/2/27,双沟
555120301162 ,伊力特46度新疆白酒伊力老窖250ml浓香型酒厂直供,65,437,天山雪水酿制，新疆伊犁名酒,满99元减10元；满288元减30元,152,2018/2/27,伊力特
540615740314 ,牛栏山52度珍品陈酿20年土豪金牛500ml浓香型白酒,65,19,,,33,2018/2/27,牛栏山
536872453030 ,江小白白酒清香型45度125ml*2瓶礼盒装小瓶高粱酒,66,2213,单纯高粱酿造 口感纯净 特色语录,,8562,2018/2/27,江小白
560139773647 ,泸州老窖浓香柔和52度500ml高度浓香型白酒新品上市,66.6,2409,新品上市，厂家直供，名酒限时购,满199元减100元,784,2018/2/27,泸州老窖
527147068336 ,洋河大曲老天蓝42度 500ml浓香型白酒酒厂直供,68,108,天猫自营 新老包装更替中 随机发货,满2件7.5折,6692,2018/2/27,洋河
526247091984 ,洋河大曲38度 500ml浓香型 白酒 粮食酒酒厂直供,68,540,天猫自营 新老包装更替 随机发货,满2件5折,946,2018/2/27,洋河
36500200637 ,泸州老窖头曲 52度 500ml高度 白酒酒厂直供,68,334,泸州老窖真酒，限时直降，厂家直供,,764,2018/2/27,泸州老窖
540023767156 ,泸州老窖头曲55度 625ml浓香型 高度 白酒,68,433,真酒限时钜惠，好货限时购，厂家直供,满99元减10元,370,2018/2/27,泸州老窖
531378927320 ,五粮液五粮醇红淡雅(光瓶)50度500ml浓香型白酒酒厂直供,69,2027,大家风范 系出名门,,10536,2018/2/27,五粮液
529772852934 ,山西杏花村汾酒集团 百年汾杏名酿475mL 国产白酒,69,5426,,,4770,2018/2/27,汾酒
521930470962 ,五粮液股份公司 富贵天下柔和级 52度 500ml 白酒,69,4271,需要礼袋 请拍双只装,满2件5折,3866,2018/2/27,五粮液
523406664332 ,致中和白酒 38度枸杞酒500ml/瓶盒装 酒厂直供,69,43,枸杞 人参 黄精,满2件7.5折,1338,2018/2/27,致中和
557465940416 ,古井礼品酒50度500ml*2瓶浓香白酒古井贡酒股份,69,1766,,,1338,2018/2/27,古井贡酒
523406604400 ,致中和白酒 22度黑枣酒500ml/瓶盒装 酒厂直供,69,6,黑枣,满2件7.5折,1121,2018/2/27,致中和
538762004307 ,郎酒 吉祥嘉宾郎 50度 500mL 浓香型 白酒 自营,69,78,,满2件5折,1065,2018/2/27,郎酒
524866661390 ,五粮液股份公司 柔和级 52度 500mLx2（礼袋装）,69,307,内含1个 精美手提袋,,816,2018/2/27,五粮液
523374971748 ,致中和 38度银杏酒500ml/瓶盒装 送礼好选 酒厂直供,69,14,,满2件7.5折,695,2018/2/27,致中和
38466811969 ,郎酒 郎牌特曲T3-42度500ml 浓香型中度 白酒,69,258,2瓶送1个礼袋，2瓶以上请拍双支装,满2件送任意1件赠品（赠完即止）,625,2018/2/27,郎酒
523726751026 ,致中和 22度佛手酒500ml/瓶盒装 低度白酒 酒厂直供,69,13,,满2件7.5折,555,2018/2/27,致中和
525270291852 ,董酒老贵董酒54度500ml董香型高度贵州白酒纯粮酿造,69,174,经典口味 纯粮固态发酵 百草入曲,,494,2018/2/27,董酒
526247135948 ,洋河大曲55度 500ml 单瓶装浓香型 白酒酒厂直供,69,59,天猫自营 新老包装更替中 随机发货,,492,2018/2/27,洋河
528121305925 ,小糊涂仙酒52度250ml浓香型白酒酒厂直供保正品,69,290,古色古香，浓醇丝韵，古法传承,,432,2018/2/27,小糊涂仙
529789434061 ,致中和五加皮 植物保健字号100ml*6小瓶整箱 小秘制,69,107,致中和出品,,384,2018/2/27,致中和
23762412819 ,郎酒 郎牌特曲T3-50度500ml 浓香型高度 白酒,69,44,单笔订单 送一个礼袋 需多个 拍双支装 见详情页,满2件送任意1件赠品（赠完即止）,313,2018/2/27,郎酒
557098242136 ,古井特曲50度500ml*6浓香白酒古井贡酒股份平价酒,69,222,,满2件送任意1件赠品（赠完即止）,291,2018/2/27,古井贡酒
540786164104 ,洋河大曲新天蓝42度 500ml浓香型白酒 单瓶酒厂直供,69,33,,,30,2018/2/27,洋河
540843475025 ,天佑德青海互助青稞酒加持52度清香型白酒150ml/瓶,69,2,优雅纯正 怡悦馥合 回味绵长,,5,2018/2/27,天佑德
523822760103 ,董酒三星54度500ml董香型高度贵州白酒纯粮食酒,70,73,经典升级 纯粮固态发酵 百草入曲,,876,2018/2/27,董酒
563524224932 ,红星二锅头酒白扁56度100ml*12瓶装清香型白酒小扁二,72,90,,,35,2018/2/27,红星
537385391293 ,牛栏山百年红（10）38度 单瓶装 500ml 口感浓香型单瓶 婚庆用酒,75,202,酒厂授权，品质保证；,满2件送任意1件赠品（赠完即止）,421,2018/2/27,牛栏山
35281688252 ,古井贡酒红运H150度500ml浓香型白酒纯粮食酒古井贡,75,271,单笔订单买2瓶以上送1个礼袋请分开下单,满2件7.5折送任意1件赠品（赠完即止）,207,2018/2/27,古井贡酒
521208289573 ,洋河 青瓷42度480ml 浓香型 白酒 猫超自营,76,947,年货节不支持礼袋,满69元减10元；满99元减30元,1265,2018/2/27,洋河
520567211857 ,洋河老字号 清字号42度500ml 白酒 猫超自营酒厂直供,77,49,洋河酒 幸福红,满69元减10元；满99元减30元,452,2018/2/27,洋河
525501233363 ,牛栏山 46度二锅头500mL*12整箱（绿瓶）装 清香型,78,8027,正宗牛栏山 地道北京味,,26144,2018/2/27,牛栏山
523244595189 ,劲牌 中国劲酒35度 125ml*6瓶 整箱装 低度白酒,78,1858,新老包装交替发货,,6995,2018/2/27,劲酒
528110788550 ,红星二锅头酒52度5L清香型白酒 大容量特价酒厂直供,78,732,老百姓爱喝的二锅头 满减更优惠 天猫自营,,3109,2018/2/27,红星
43166085620 ,茅台 53度茅台迎宾酒 500ml 酱香型白酒 酒厂直供,78,1624,天猫超市自营 茅台自饮酒,满2件送任意1件赠品（赠完即止）,1938,2018/2/27,茅台
562341345628 ,泸州老窖股份52度陈窖Q6浓香型白酒500mL婚宴送礼用酒,78,435,,满2件5折,69,2018/2/27,泸州老窖
563126623467 ,牛栏山56度5L桶装二锅头泡药酒+宁夏红枸杞200g组合装,78,5,,,7,2018/2/27,牛栏山
538241636383 ,贵州茅台集团循环产投 封坛1992 N30 500mL 国产白酒,79,1967,,,10620,2018/2/27,茅台
520673633190 ,五粮液股份公司 52度 东方娇子精酿级 500mL 白酒,79,1649,需要礼袋 请拍双只装,满2件5折,9118,2018/2/27,五粮液
556168614444 ,五粮液股份公司如意结纯酿52度 500mL浓香型白酒,79,141,,满2件5折,2322,2018/2/27,五粮液
555882296265 ,五粮液股份公司如意结珍酿52度 500mL浓香型白酒,79,215,,满2件5折,1491,2018/2/27,五粮液
522017306600 ,衡水老白干玉瓷52度 500ml老白干香型 国产白酒,79,582,香气清雅，绵柔醇调,满2件5折,1333,2018/2/27,衡水老白干
555753433194 ,红星二锅头酒绿瓶56度500ml*6瓶清香型白酒酒厂直供,79,512,,,1155,2018/2/27,红星
521989154452 ,五粮液股份公司富贵天下绵柔级500mL52度浓香白酒,79,211,,,950,2018/2/27,五粮液
532054585818 ,习酒红习酱195253度 500ml酱香型 白酒酒厂直供,79,112,君子之品 东方习酒 猫超自营 百城次日达,满2件送任意1件赠品（赠完即止）,739,2018/2/27,习酒
535602721163 ,汾酒 山西杏花村竹叶青酒38度金象500ml 清香型酒,79,309,竹叶青 金象露酒,,670,2018/2/27,汾酒
522017174887 ,衡水老白干锦瓷52度 500ml老白干香型国产白酒,79,374,香气清雅，绵柔醇调,满2件5折,651,2018/2/27,衡水老白干
561438412432 ,五粮液五粮醇红淡雅(升级版)50度500ml浓香型白酒酒厂直供,79,303,,满99元减20元送任意2件赠品（赠完即止）,80,2018/2/27,五粮液
532560342735 ,剑南春酒厂有限公司剑南春绵竹酒醇和 52度450mL*12,79.9,485,,,849,2018/2/27,剑南春
540455698359 ,汾酒杏花村42度红盖玻汾475ml清香 白酒酒厂直供,80,168,官方授权 天猫配送 保真快捷,满2件5折,628,2018/2/27,汾酒
531973079843 ,红星二锅头酒12年陈酿53度 500ml清香型白酒酒厂直供,82,283,老百姓爱喝的二锅头 满减更优惠 天猫自营,,366,2018/2/27,红星
